"changedFields","ibisProductId","ibisSourceId","newPublished","newSourcePrice","newStockQty","newStockStatus","nikProductId","nikSourceId","oldPublished","oldSourcePrice","oldStockQty","oldStockStatus","sku"
"sourcePrice|stockQty|published","69e9ee8a2eeb571971d565f0","88646","true","14.8","4","instock","69b44301c23d34935c3b6f28","22576","false","15.28","6","instock","312ZN25"
"stockQty","69e9ee8a2eeb571971d565e9","88644","true","58.8","2","instock","69b44301c23d34935c3b6f31","22578","true","58.8","5","instock","171HR01"
"stockQty","69e9ee8a2eeb571971d565e2","88642","true","37.84","15","instock","69b44301c23d34935c3b6f39","22583","true","37.84","13","instock","900LG11"
"sourcePrice","69e9ee8a2eeb571971d565db","88640","true","28.5","7","instock","69b44301c23d34935c3b6f41","22584","true","32.78","7","instock","900LG12"
"sourcePrice","69e9e8d02eeb571971d4e22a","79839","true","7.41","15","instock","69b44302c23d34935c3b6f51","22640","true","8.59","15","instock","139ID22"
"stockQty","69e9e8cf2eeb571971d4e21a","79835","true","29.65","1","instock","69b44303c23d34935c3b6f63","22667","true","29.65","2","instock","145SU01"
"sourcePrice|published","69e9e8cd2eeb571971d4e1fa","79827","true","36.81","0","outofstock","69b44304c23d34935c3b6f87","22675","false","","0","outofstock","145ZN04"
"stockQty","69e9e8cd2eeb571971d4e1ea","79824","true","4.35","17","instock","69b44304c23d34935c3b6f99","22728","true","4.35","16","instock","113MC00"
"sourcePrice|stockQty","69e9ee892eeb571971d565c3","88634","true","9.5","10","instock","69b44305c23d34935c3b6fa2","22730","true","10.93","9","instock","116LG497"
"sourcePrice","69e9e8cc2eeb571971d4e1da","79820","true","10.5","10","instock","69b44305c23d34935c3b6fb4","22739","true","12.08","10","instock","139CY17OR"
"stockQty","69e9e8cc2eeb571971d4e1d2","79817","true","39.88","4","instock","69b44306c23d34935c3b6fc6","22746","true","39.88","2","instock","168DA01"
"stockQty","69e9e8cb2eeb571971d4e1ca","79815","true","47.04","4","instock","69b44306c23d34935c3b6fcf","22748","true","47.04","3","instock","168MA00"
"stockQty","69e9ee882eeb571971d565bb","88632","true","31.7","3","instock","69b44306c23d34935c3b6fd8","22749","true","31.7","2","instock","222FR94"
"sourcePrice|published","69e9ee872eeb571971d565ab","88627","true","4.4","0","outofstock","69b44307c23d34935c3b6fea","22754","false","0","0","outofstock","800PE27"
"stockQty","69e9e8cb2eeb571971d4e1ba","79810","true","43.97","3","instock","69b44308c23d34935c3b700e","22786","true","43.97","2","instock","168DA02"
"sourcePrice|stockQty","69e9ee862eeb571971d5658b","88619","true","1.4","14","instock","69b44309c23d34935c3b7020","22794","true","1.61","10","instock","813PE228"
"stockQty","69e9ee862eeb571971d56583","88616","true","1.43","15","instock","69b44309c23d34935c3b7029","22799","true","1.43","10","instock","813PE229"
"sourcePrice|published","69e9ee852eeb571971d5657b","88614","true","3.48","0","outofstock","69b44309c23d34935c3b7032","22827","false","2.94","0","outofstock","816PE16"
"stockQty","69e9ee852eeb571971d56573","88612","true","3.89","25","instock","69b4430ac23d34935c3b703b","22829","true","3.89","36","instock","816PE32"
"sourcePrice","69e9ee852eeb571971d5656b","88610","true","5.2","0","outofstock","69b4430ac23d34935c3b7044","22914","true","5.11","0","outofstock","307LG50"
"stockQty","69e9ee842eeb571971d56563","88607","true","4.35","26","instock","69b4430ac23d34935c3b704d","22917","true","4.35","29","instock","307LG46"
"sourcePrice","69e9ee842eeb571971d5655b","88604","true","8.44","14","instock","69b4430bc23d34935c3b7056","22920","true","0","14","instock","307LG45"
"stockQty","69e9ee842eeb571971d56553","88601","true","43.46","1","instock","69b4430bc23d34935c3b705f","22931","true","43.46","2","instock","171AR05"
"sourcePrice|stockQty|stockStatus","69e9ee832eeb571971d5654b","88599","true","28","0","outofstock","69b4430cc23d34935c3b7071","22946","true","32.2","10","instock","816PE45"
