"reason","sku","ibisProductId","ibisSourceId","published","sourcePrice","stockQty"
"ibis_missing_sku","","69e9f38c2eeb571971d5d919","108196","true","9.46","8"
"ibis_missing_sku","","69e9f3912eeb571971d5d985","108299","false","0","0"
"ibis_missing_sku","","69e9f3932eeb571971d5d9bd","108358","true","9.46","5"
"ibis_missing_sku","","69e9f39f2eeb571971d5dadb","108479","true","28.63","5"
"ibis_missing_sku","","69e9f3ae2eeb571971d5dc32","108654","true","1278.22","2"
"ibis_missing_sku","","69e9f3af2eeb571971d5dc3a","108659","true","168.72","2"
"ibis_missing_sku","","69e9f3af2eeb571971d5dc4b","108664","true","81.8","2"
"ibis_missing_sku","","69e9f3b02eeb571971d5dc53","108667","true","143.16","2"
"ibis_missing_sku","","69e9f3b02eeb571971d5dc5b","108670","true","112.48","2"
"ibis_missing_sku","","69e9f3b12eeb571971d5dc63","108673","true","61.35","2"
"ibis_missing_sku","","69e9f3b12eeb571971d5dc6b","108676","true","51.12","2"
"ibis_missing_sku","","69e9f3b12eeb571971d5dc73","108679","true","168.72","2"
"ibis_missing_sku","","69e9f3b22eeb571971d5dc7b","108682","true","117.59","2"
"ibis_missing_sku","","69e9f3b22eeb571971d5dc83","108685","true","168.72","2"
"ibis_missing_sku","","69e9f3b32eeb571971d5dc8b","108688","true","168.72","2"
"ibis_missing_sku","","69e9f3b32eeb571971d5dc93","108691","true","53.68","2"
"ibis_missing_sku","","69e9f3b32eeb571971d5dc9b","108694","true","53.68","2"
"ibis_missing_sku","","69e9f3b42eeb571971d5dca3","108697","true","53.68","2"
"ibis_missing_sku","","69e9f3b52eeb571971d5dcbc","108730","true","46.01","2"
"ibis_missing_sku","","69e9f3b52eeb571971d5dcc4","108736","true","40.9","2"
"ibis_missing_sku","","69e9f3b62eeb571971d5dccc","108741","true","613.55","0"
"ibis_missing_sku","","69e9f3b62eeb571971d5dcd4","108746","true","296.54","2"
"ibis_missing_sku","","69e9f3b62eeb571971d5dcdc","108751","true","230.08","2"
"ibis_missing_sku","","69e9f3b92eeb571971d5dd16","108789","true","30.68","10"
"ibis_missing_sku","","69e9f3b92eeb571971d5dd1f","108792","true","30.68","10"
"ibis_missing_sku","","69e9f3c62eeb571971d5de47","109017","true","0","0"
"ibis_missing_sku","","69e9f3fb2eeb571971d5e321","110913","true","10.58","10"
"ibis_missing_sku","","69e9f4012eeb571971d5e3a9","111006","true","18.82","10"
"ibis_missing_sku","","69e9f4022eeb571971d5e3bb","111011","true","16.46","10"
"ibis_missing_sku","","69e9f41f2eeb571971d5e66d","111721","true","12.94","10"
"ibis_missing_sku","","69e9f4282eeb571971d5e738","111995","true","13.23","4"
"ibis_missing_sku","","69e9f4422eeb571971d5e9a3","113137","true","35","0"
"ibis_missing_sku","","69e9f4852eeb571971d5efa0","116182","true","18.98","9"
"ibis_missing_sku","","69e9f4882eeb571971d5efe6","116370","true","15","2"
"ibis_missing_sku","","69ec32ec4aa74461d31bc110","","true","0","0"
"duplicate_sku_in_nik","302CU15","","","","",""
"source_id_points_to_different_sku","107LG06","69e9e7892eeb571971d4c4c6","68823","","",""
"duplicate_sku_in_ibis","202FR09","","","","",""
"source_id_points_to_different_sku","802PE95","69e9ec012eeb571971d52b91","84623","","",""
"source_id_points_to_different_sku","143AR08","69e9e69d2eeb571971d4af70","49536","","",""
"duplicate_sku_in_nik","316AC57","","","","",""
"source_id_points_to_different_sku","139ZN38","69e9e78a2eeb571971d4c4e0","68935","","",""
"duplicate_sku_in_nik","148BH03","","","","",""
